word,correct,choice1,choice2,choice3
abandon,捨てる,得る,見る,待つ
absent,欠席の,注意深い,正直な,速い
accuse,非難する,助ける,信じる,説明する
advance,進歩する,遅れる,止まる,戻る
benefit,利益,損失,損害,費用
climate,気候,文化,天気,地震
develop,発展する,止まる,倒れる,忘れる
encourage,励ます,止める,驚かす,逃げる
frequent,頻繁な,まれな,遅い,少ない
generate,生み出す,食べる,壊す,売る
host,主催者,客,教師,警察
ignore,無視する,見る,覚える,書く
justice,正義,不正,悪,嘘
knowledge,知識,無知,力,勉強
limit,制限,自由,距離,数
maintain,維持する,壊す,忘れる,変える
narrow,狭い,広い,長い,重い
object,物体,感情,形容詞,動詞
participate,参加する,見る,逃げる,助ける
quality,質,量,重さ,高さ
recover,回復する,失う,始める,壊す
safety,安全,危険,事故,けが
target,目標,結果,原因,手段
unique,独特な,普通の,複雑な,短い
value,価値,無駄,物,価格
waste,浪費,使う,節約,得る
youth,若者,大人,老人,先生
adapt,適応する,拒否する,攻撃する,逃げる
balance,均衡,重さ,数,力
ability,能力,失敗,間違い,学力
behave,ふるまう,走る,話す,怒る
connect,つなぐ,切る,外す,捨てる
destroy,破壊する,作る,直す,書く
emotion,感情,論理,形,物体
feature,特徴,欠点,色,高さ
goal,目標,時間,方法,量
honest,正直な,嘘つきの,速い,高い
increase,増加する,減る,止まる,逃げる
job,職業,趣味,友達,先生
kind,親切な,意地悪な,冷たい,短気な
local,地元の,外国の,遠い,新しい
mention,言及する,隠す,忘れる,書く
necessary,必要な,無駄な,意味のない,小さい
opinion,意見,事実,数字,感情
prepare,準備する,壊す,逃げる,戻る
require,必要とする,持つ,終える,助ける
skill,技術,体力,感情,性格
trust,信頼する,疑う,笑う,壊す
unite,団結する,逃げる,分ける,隠れる
visit,訪れる,出発する,忘れる,止まる
wonder,不思議に思う,知る,答える,終える
xenophobia,外国人嫌い,旅行好き,学者,友達
year,年,月,日,時間
zone,区域,時間,速度,建物
arrive,到着する,出発する,忘れる,止まる
belong,属する,外れる,壊れる,笑う
care,注意する,壊す,怒る,逃げる
decide,決める,迷う,隠れる,戻る
